Explain process state transition with a diagram,5,1
Consider a variant of the round robin scheduling algorithm in which the entries in the ready queue are the pinters to the process control block. What would be the effect of putting two pointers to the same process in the ready queue?. What would be a major advantage and disadvantage of this scheme?,4,4
Explain with a diagram any three key features provided by Multi level feedback queue in process scheduling,5,1
Suppose following process arrive for execution as shown below. Calculate average waiting time and average turnaround time based on non-preemptive FCFS scheduling algorithm. You must show the formulas and all steps leading to the result,6,3
"Consider N threads that want to each execute their first operation before any thread proceeds to the second operation. Below is the code that each thread runs in order to achieve this synchronization. count is an integer shared variable initialized to zero and mutex is a mutex binary semaphore, initialized to one, that protects this shared variable. You are told that this code is wrong and does not work correctly. Suggest the changes to be made to the code in the snippet below to fix it by using only semaphores and no other synchronization mechanism.",4,4
What is the meaning of the term busy waiting? What other kinds of waiting are there in an operating system? Can busy waiting be avoided altogether? Explain your answer,3,2
State any 3 necessary conditions to cause deadlock in a system. Explain each of them in a sentence,6,2
State any 2 possible remedies to the deadlock problem in the dining philosophers problem,2,1
Consider the following page reference string. How many page faults woud occur for Optimal replacement algorithm assuming four frames? Remember that all frames are initially empty. Your answer must show all steps leading to the result,5,3
A paginf scheme uses a translation lookaside buffer (tlb). A TLB-access takes 10ns and a main memory access takes 50ns. What is the effective access time (in ns) if the TLB hit ratio is 90% and there is no page fault,5,3
"Consider logical address space of eight pages of 1024 each, mapped onto a physical memory of 32 frames. How many bits are in the logical address? How many bits are in the physical address?",2,3
"Consider the following segment table. What are the physical addresses for the following logical addresses given as (segment, offset) tuples?",3,3
"Assume the following : a 32 bit virtual address space, with a 1kb page size and a linear page table with each page table entry size = 4 bytes. How many bits are in the offset portion of the virtual address?",1,3
"Assume the following : a 32 bit virtual address space, with a 1kb page size and a linear page table with each page table entry size = 4 bytes.How many bits are in the Virtual page number portion of the virtula address?",1,3
"Assume the following : a 32 bit virtual address space, with a 1kb page size and a linear page table with each page table entry size = 4 bytes. How many entries are in the table?",1,3
"Assume the following : a 32 bit virtual address space, with a 1kb page size and a linear page table with each page table entry size = 4 bytes. What is the total size of the table?",1,3
"Assume the following : a 32 bit virtual address space, with a 1kb page size and a linear page table with each page table entry size = 4 bytes. In a live system if page table size = 10MB and there are 100 processes, how much memory would be occupied by the page tables?",1,3
"Consider a file system with 12 direct pointers, 1 indirect pointer and 1 double - indirect pointer in the inode. Assume that disk blocks are 8kb size and each pointer to a disk block requires 4 bytes. What is the largest possible file that can be supported with this design. If the same file system supports an additional triple indirect pointer, what is the largest file that can be supported",5,4
What is the purpose of System hardening? Explain any 3 best practices for system hardening.,5,1
"Consider a system that supports strategies of contiguous, linked and indexed allocation. What criteria should be used in deciding which strategy is the best suited for a particular file",5,2
What is the basic design principle behind FFS? How does FFS determine where to put file data blocks?,3,2
What is the difference between inode bitmap and inode table,2,4
Explain with diagram how direct memory access (dma) technique improves system performance,5,2
Explain any three techniques used by operating systema to improve disk drive performance,5,2
Explain 3 main delays in getting data from the disk,6,2
"Suppose we have a disk with 200 tracks (numbered from 0-199) and the head is initially at track 100. There is a quere of the disk access requests for tracks mentioned below. If shortest seek time first (SSTF) is being used for scheduling the disk access, show all the requests serviced and calculate the average number of tracks visited per request",4,3
What are the services provided by operating system?,6,1
Explain the states of process with neat diagrams,8,2
What is scheduler? Explain the types of schedulers,6,2
List and explain the challenges in programming multi core systems,6,2
What are the necessary conditions for the deadlock occurence,6,1
What are the types of semaphores,4,1
What are the conditions the solution to critical section problem must satisfy,4,1
What is segmentation? Explain the programmer's view of the process,6,2
For a given reference string find out the total number of page faults for LRU algorithm. Assume free frames to be 3,6,3
"The process p1,p2,p3,p4 enter the system in the sequence specified. Find the waiting time and average waiting time for the SJF scheduling algorithm",8,3
What are the attributes of a file,6,1
Explain the layered file system structure,6,2
Explain the typical pc bus architecture with neat diagram,6,2
What are the characteristics of I/O devices,6,1
What are the functions of kernel I/O subsystems,4,1
What are the functions that can be performed on files,6,1
"In general we can consider a process to move between five process states during its existence. Discuss, with diagram, the circumstances in which a process will enter or leave each of the states",6,4
What are the operations that can be performed on the process? Write a code snippet to demonstrate these operations,4,2
What is convoy effect,1,1
What are the parameters defined for a multilevel feedback queue scheduler,5,1
Explain with neat diagram different threading models supported by user level threads and jernel level threads,6,2
Write a solutions to critical section problem using mutex locks. Write the function definition of the acquire and release,6,4
List and define the three requirements that must be satisfied by the solution to critical section problem,3,1
What are the techniques used to structure page table,4,1
What is an open source Operating System? Identifr 3 advantages and 3 disadvantages of open source operating systems?,6,4
"In the following process state transition diagram for a uniprocessor system, assume that there are always some processes in the ready state:
i) Is the scheduler a preemptive or a non-preemptive? 
ii) Name the arrows in the diagram.
iii) Briefl ex lain different rocess states given in the diagram
",6,"2
1
2"
"For each of the following pairs of terms, define each term, making sure to clarify the key difference(s) between the two terms.
i) ""Signal"" and ""Pipe"" ii) ""C program"" and ""Shell program""
",8,1
"Consider a variant ofthe RR scheduling algorithm where the entries in the ready queue are pointers to the PCBs
a)	What would be the effect of putting two pointers to the same process in the ready queue?
b)	What would be the major advantages and disadvantages of this scheme
c)	How would you modi%' the basic RR algorithm to achieve the same effect without the duplicate pointers?
",6,"4
4
6"
"Consider the following set of processes, with the length of the CPU burst given in milliseconds.
i) Draw the Gantt Charts for executing this process using the following scheduling algorithm. SJN, Round Robin(quantum=10) 
ii) What is the average turnaround time for each algorithm?
iii) What is the average waiting time for each ofthe scheduling algorithm?
",8,"2
3
3"
"P is a set of processes. R is a set of resources. E is a set of request or assignment edges.
The sets P, R, and E are as follows: P = {PI, P2, P3}, R = {RI, R2, R3}. E - {PI
RI, PI 	R3, P3 RI, RI > P3, R3 P2, R2 >P2}. RI has two instances. R2 has one instance. R3 has one instance.
(a)	Draw the resource-allocation graph.
(b)	Is there any deadlock in this situation? Briefly Explain.
",6,
"Under what circumstances do page faults occur? With a diagram, describe the actions taken by the operatin system when a a e fault occurs.",5,
"Consider a system with three smoker processes and one agent process. Each smoker continuously rolls a cigarette and then smokes it, But to roll and smoke a cigarette, the smoker needs three ingredients: tobacco, paper, and matches. One of the smoker processes has paper, another has tobacco, and the third has matches. The agent has an infinite supply of all three materials. The agent places two of the ingredients on the table. The smoker who has the remaining ingredient then makes and smokes a cigarette, signaling the agent on completion. The agent then puts out another two of the three ingredients, and the cycle repeats. Write an algorithm to synchronize the agent and the smokers.",10,
"Consider a memory system with a cache access time of 10 ns and a memory access time of I I Ons assume the memory access time includes the time to check the cache. If the effective access time is 10% greater than the cache access time, what is the hit ratio I-I?",5,
"With a block diagram, explain the file read operation.",6,2
What are the advantages and disadvantage of tree structured directory?,4,4
"Consider a file currently consisting of 100 blocks. Assume that the file control block (and the index block, in the case of indexed allocation) is already in memory. Describe the type of operations required for contiguous, linked, and indexed (single-level) ailocation strategies, if, for one block, the following conditions hold. In the contiguous allocation case, assume that there is no room to grow in the beginning, but there is room to grow in the end. Assume that the block information to be added is stored in memory.
(a) The block is added at the beginning. 
(b) The block is added at the end.
",10,
"Consider a system where free space is kept in a free space list.
i) Suppose that the pointer to the free space list is lost. Can the system reconstruct the free space list?l ii Suggest a scheme to ensure that the pointer is never lost as a result of memory failure.
",6,4
With a neat diagram? explain Direct memory access (DMA),6,2
"Given a disk with 200 tracks numbererd from 0 to 199. At time 0 there is a queue of read requests, the head is positioned over track 89 and moving towards the lower tracks.The disk queue of pending requests is (in order of arrival)
2, 156, 78, 192, 19, 127, 90, 100
Two further request on track numbers 1/10 and 60 arrive when servicing the request tor track number 127. Starting from the current head position of 89 for SSTF and SCAN disk scheduling algorithms:
i) Draw a diagram showing the disk head movements 
ii) Calculate the total distance that the disk head moves to satisfy all the requests
",10,
"In general we can consider a process to move between five process states during its existence. Discuss, with diagram, the circumstances in which a process will enter or leave each of the states.",6,4
"Identify the section of a process's memory for the following statements.
i. The section that contains temporary data 
ii. The section that contains global variable 
iii. The section that contains Program code 
iv. The section that contains Function parameters
",4,
What are the operations that can be performed on the process?. Write a code snippet to demonstrate these operations.,4,2
"i.        What is Convoy Effect? 
ii.        What are the parameters defined for a multilevel feedback queue scheduler? 
",5,
Explain with neat diagram different threading models supported by user level threads and kernel level threads,6,2
Write a solution to critical section problem using mutex locks. Write the function definition of  acquire and release.,6,3
"Write a program to create 3 threads. Two of the threads perform work and update a ""count"" Variable. The third thread waits until the count variable reaches a specified value.",5,4
"List and define the three requirements that must be satisfied by the solution to critical section problem.
",3,1
The code of the operating system resides in the main memory and users also get access to memory to execute their programs. Explain how operating system is protected form user programs and how program of user 1 is secured from the program of the user 2 program during execution. Draw the Hardware support for the same.,4,
"What is a virtual memory? Find the hit ratio for the following sequence of page requests, using Firstin First out and optimal method of page replacement . Consider number of free frames to be 3.",6,3
What is thrashing ?What are the causes of thrashing and write any two solutions to increase CPU utilization in case of thrashing.,6,2
What are the techniques used to structure page table?,4,1
"I. The routine open() takes a number of different flags. Specify the flags to create a file for writing, if the file is already existing, change the size to O.
Il. How non sequential read and writes within a file are supported by the OS?
Ill. Write a program to print all the files and their I-node numbers present in the current working directory. (Assume header files are included)
",6,
"Consider VSFS (Very Simple File System) of size 6414B. Each block size is 4KB.super block, I-bmap and d-bmap require one block each. If the inode table occupies 20KB with inode size of 256 bytes. (note: Show all the steps involved in the calculations)
I, Hom many blocks are present in the file system?.
Il. How many blocks are required for inode table and what are the maximum number of entries in the inode table?
Ill. What are the maximum number of files that can be created on the file system?
IV.        What is the start address of inode table and data block? 
V.        What will be the block number and sector number for the inode 32 if sector size is 512 bytes?
",8,
Explain the architecture of fast file system.,5,2
"Suppose that a disk drive has 200 cylinders, numbered 0 to 199. The drive is currently serving a request at cylinder 53, a disk queue with pending requests for I/O to blocks-on cylinders are 98, 183, 37, 122, 14, 124, 65, 67. Starting from the current head position, what is the total distance (in cylinders) that the disk arm moves to satisfy all the pending requests for each of the following diskscheduling algorithms?
	A. FCFS	B. SSTF	C. SCAN
",6,
What is a firmware? Explain the protocol used in the canonical devices?,4,2
"How can the operating system check device status without frequent polling and thus lower the CPU overhead required to manage the device?Explain the mechanism that LOWERS CPU overhead,",3,
"An application loads 100 libraries at startup. Loading each library requires exactly one disk access. 
The seek time of the disk to a random location is given aSŽ0ms.  IS 6000rpm. If all 100 libraries are loaded from random locations on the disk, how long does it take to load all libraries? (The time to transfer data from the disk block once the head has been positioned at the start of the block may be neglected)
",6,
Define operating system. Explain different views operating system.,8,2
 what are you virtual machines? Explain vmware architechture with neat diagram,8,2
Explain process management activities,4,2
Write new diagram explain different states of a process,5,2
 discuss scheduling criteria used in operating system,5,4
"For the following example calculator is waiting time and turnaround around time using FCFS, SJF, RR",10,3
What is critical section problem? Explain some other solution to critical section problem.,7,2
Describe the monitor solution to classical training philosopher problem,8,
Define race condition. Explain the readers-writers problem with semaphore in detail,5,2
What is deadlock? What are necessary conditions on operating system must satify for deadlock to occur?,6,2
"For the following Snapchat, find the safe sequence using bankers algorithm",6,3
How is the system recovered from deadlock,5,1
what are translation lookaside buffer? explain in detail with a simple paging system with any diagram,8,2
Explain how free space is managed,4,2
Explain the different file access methods,6,2
What is memory allocation? Explain different allocation methods,10,2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
